id,Product,picture,Price(TW),Weight(g),Country of Origin,Shelf Life,Item
9,Market O Brownie  6 Count/Pack,9.jpg,347,96g¡Ñ6,Korea,180 day,#119377
8,North Sea Pink Salmon Fish Snacks ,8.jpg,375,600g,Taiwan,180 day,#112391
7,Kirkland Signature Sea Salt Potato Chips ,7.jpg,229,907g,America,180 day,#998879
6,Kirkland Signature Solid White Albacore Tuna 8 Count/Pack,6.jpg,650,198g¡Ñ8,America,1080 day,#546787
5,Kirkland Signature Chicken Breast  6 Count/Pack,5.jpg,529,354g¡Ñ6,America,1081 day,#594931
4,Kirkland Signature Organic Stewed Tomato 8 Count/Pack,4.jpg,319,411g¡Ñ8,America,991 day,#702536
3,Kirkland Signature Atlantic Salmon ,3.jpg,1249,1360g,Norway,365 day,#46340
2,Kirkland Signature Wild Alaskan Cod ,2.jpg,699,910g,America,366 day,?#417380
1,Kirkland Signature Sea Scallops ,1.jpg,1439,908g,America,360 day,#777891
,,,,,,,
,,,,,,,
,,,,,,,
